candidato,start_abs,start_rel,end_rel,cubre_donador,veredicto,bordes_anulados,clasificacion,donador_criptico,delta_donador,retencion_donador,aceptor_criptico,delta_aceptor,retencion_aceptor,donador_canonico_e3,delta_canonico,retencion_canonico
cand_5816,5816,-184,-164,False,sin_efecto,,sin_efecto,0.2524,+0.0076,1.0309,0.1268,-0.0183,0.8739,0.9363,-0.0001,0.9999
cand_5817,5817,-183,-163,False,sin_efecto,,sin_efecto,0.2689,+0.0241,1.0984,0.1253,-0.0198,0.8637,0.9361,-0.0003,0.9997
cand_5823,5823,-177,-157,False,sin_efecto,,sin_efecto,0.2562,+0.0114,1.0467,0.1182,-0.0269,0.8148,0.9369,+0.0004,1.0004
cand_5824,5824,-176,-156,False,sin_efecto,,sin_efecto,0.2635,+0.0187,1.0764,0.1208,-0.0243,0.8327,0.9379,+0.0014,1.0015
cand_5825,5825,-175,-155,False,sin_efecto,,sin_efecto,0.2678,+0.0230,1.0938,0.1336,-0.0115,0.9209,0.9366,+0.0002,1.0002
cand_5992,5992,-8,12,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2448,0.0000,0.0083,-0.1368,0.0572,0.9410,+0.0045,1.0049
cand_5998,5998,-2,18,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2448,0.0000,0.0103,-0.1348,0.0708,0.9436,+0.0071,1.0076
cand_5999,5999,-1,19,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2448,0.0000,0.0056,-0.1394,0.0389,0.9428,+0.0063,1.0068
cand_6017,6017,17,37,False,sin_efecto,,contraproducente,0.3243,+0.0794,1.3245,0.1894,+0.0444,1.3058,0.9388,+0.0023,1.0025
cand_6018,6018,18,38,False,sin_efecto,,contraproducente,0.2969,+0.0521,1.2129,0.1707,+0.0256,1.1764,0.9396,+0.0031,1.0033
cand_6019,6019,19,39,False,sin_efecto,,sin_efecto,0.2836,+0.0388,1.1587,0.1622,+0.0171,1.1181,0.9407,+0.0043,1.0046
cand_6020,6020,20,40,False,sin_efecto,,contraproducente,0.2978,+0.0529,1.2163,0.1823,+0.0372,1.2563,0.9393,+0.0029,1.0031
cand_6021,6021,21,41,False,sin_efecto,,contraproducente,0.2989,+0.0541,1.2211,0.1773,+0.0322,1.2222,0.9362,-0.0002,0.9998
cand_6022,6022,22,42,False,sin_efecto,,contraproducente,0.2948,+0.0500,1.2041,0.1781,+0.0331,1.2279,0.9384,+0.0019,1.0020
cand_6023,6023,23,43,False,sin_efecto,,sin_efecto,0.2708,+0.0260,1.1060,0.1651,+0.0200,1.1378,0.9400,+0.0035,1.0038
cand_6024,6024,24,44,False,sin_efecto,,sin_efecto,0.2622,+0.0174,1.0712,0.1633,+0.0183,1.1258,0.9404,+0.0040,1.0043
