candidato,start_rel,end_rel,severidad_off_target,tramo_contiguo_max,off_target_count,genes_distintos,tm,dg_hibridacion,dg_autoestructura,dg_homodimero,accesibilidad,accesibilidad_percentil,homodimero_percentil,termo_paso_filtro
cand_5816,-184,-164,leve,15,36,13,53.433,-38.7,-0.4,-5.9,0.0003,24.7,1.3,True
cand_5817,-183,-163,leve,15,31,10,50.184,-37.1,-0.4,-4.2,0.0003,23.4,41.6,True
cand_5818,-182,-162,leve,15,32,8,47.748,-36.3,-0.4,-3.0,0.0,3.9,71.4,True
cand_5819,-181,-161,leve,15,101,24,49.101,-36.3,0.0,-1.2,0.0002,18.2,89.6,True
cand_5820,-180,-160,moderado,16,138,29,47.789,-34.9,0.0,-0.3,0.0001,6.5,93.5,True
cand_5821,-179,-159,moderado,17,251,57,47.971,-33.3,0.0,0.5,0.0001,5.2,98.7,True
cand_5822,-178,-158,moderado,17,214,49,48.566,-33.9,0.0,2.0,0.0001,11.7,100.0,True
cand_5823,-177,-157,moderado,17,226,52,52.139,-34.7,0.0,-1.7,0.0002,16.9,85.7,True
cand_5824,-176,-156,moderado,17,225,51,55.057,-36.7,0.0,-3.9,0.0002,20.8,57.1,True
cand_5825,-175,-155,moderado,16,69,24,55.211,-37.2,0.0,-3.9,0.0001,13.0,58.4,True
cand_5842,-158,-138,sin_señal,10,36,15,44.892,-33.0,-0.4,-5.2,0.0032,39.0,20.8,True
cand_5843,-157,-137,sin_señal,10,49,8,42.637,-31.3,-0.4,-4.1,0.0039,42.9,44.2,True
cand_5844,-156,-136,leve,15,21,5,43.857,-31.3,-0.4,-5.8,0.0193,49.4,3.9,True
cand_5856,-144,-124,moderado,16,24,11,47.513,-37.0,0.0,-5.7,0.0275,51.9,5.2,True
cand_5857,-143,-123,moderado,16,22,12,47.525,-35.5,0.0,-5.7,0.0675,70.1,6.5,True
cand_5858,-142,-122,moderado,16,19,11,45.642,-35.5,0.0,-5.7,0.0647,68.8,7.8,True
cand_5859,-141,-121,moderado,16,19,9,46.594,-37.5,-0.1,-5.7,0.0457,67.5,9.1,True
cand_5860,-140,-120,moderado,16,10,9,46.679,-38.0,0.0,-5.7,0.0442,66.2,10.4,True
cand_5861,-139,-119,moderado,16,9,8,43.925,-37.0,0.0,-4.5,0.0366,61.0,39.0,True
cand_5862,-138,-118,leve,15,8,7,45.151,-37.0,0.0,-4.1,0.0316,55.8,45.5,True
cand_5863,-137,-117,leve,15,26,11,44.841,-37.3,0.0,-4.1,0.0322,57.1,46.8,True
cand_5864,-136,-116,leve,15,29,14,41.227,-35.0,0.0,-4.1,0.0341,58.4,48.1,True
cand_5865,-135,-115,leve,15,29,13,40.051,-34.6,0.0,-5.2,0.0771,71.4,22.1,True
cand_5866,-134,-114,leve,15,59,15,37.698,-32.9,0.0,-4.8,0.0862,75.3,26.0,True
cand_5868,-132,-112,leve,15,54,11,35.75,-32.5,0.0,-4.8,0.0901,76.6,27.3,True
cand_5870,-130,-110,leve,15,55,16,36.496,-32.2,0.0,-4.8,0.0848,74.0,28.6,True
cand_5871,-129,-109,leve,15,27,15,36.496,-32.2,-0.5,-4.8,0.0821,72.7,29.9,True
cand_5876,-124,-104,alto,18,110,26,36.917,-32.7,-0.3,-4.8,0.0425,64.9,31.2,True
cand_5877,-123,-103,alto,18,115,26,39.673,-34.1,-0.3,-4.8,0.0389,63.6,32.5,True
cand_5878,-122,-102,moderado,17,85,18,38.94,-33.9,-0.3,-4.8,0.0368,62.3,33.8,True
cand_5879,-121,-101,moderado,16,33,8,37.653,-32.3,-0.3,-4.8,0.0354,59.7,35.1,True
cand_5880,-120,-100,moderado,16,28,4,40.053,-34.2,-0.3,-4.8,0.0313,54.5,36.4,True
cand_5881,-119,-99,leve,15,33,9,38.789,-34.2,0.0,-2.2,0.0292,53.2,79.2,True
cand_5882,-118,-98,leve,15,40,11,37.979,-32.4,0.0,-0.8,0.0259,50.6,90.9,True
cand_5883,-117,-97,leve,15,33,11,39.246,-33.9,0.0,-3.4,0.0186,48.1,63.6,True
cand_5942,-58,-38,moderado,16,55,26,41.801,-35.0,0.0,-5.2,0.0037,41.6,23.4,True
cand_5943,-57,-37,moderado,16,73,36,42.401,-36.7,0.0,-1.8,0.0036,40.3,84.4,True
cand_5992,-8,12,leve,15,9,9,52.742,-38.6,-0.9,-5.4,0.0,0.0,16.9,True
cand_5998,-2,18,moderado,16,34,10,51.161,-37.7,-0.9,-5.4,0.0,1.3,18.2,True
