candidato,start_abs,start_rel,end_rel,cubre_donador,veredicto,bordes_anulados,clasificacion,donador_criptico,delta_donador,retencion_donador,aceptor_criptico,delta_aceptor,retencion_aceptor,donador_canonico_e3,delta_canonico,retencion_canonico
cand_5816,5816,-184,-164,False,sin_efecto,,sin_efecto,0.2465,-0.0364,0.8713,0.1370,-0.0295,0.8227,0.5956,-0.0020,0.9966
cand_5817,5817,-183,-163,False,sin_efecto,,sin_efecto,0.2579,-0.0250,0.9117,0.1435,-0.0230,0.8617,0.5963,-0.0014,0.9977
cand_5818,5818,-182,-162,False,sin_efecto,,sin_efecto,0.2653,-0.0176,0.9378,0.1481,-0.0185,0.8891,0.5944,-0.0032,0.9947
cand_5825,5825,-175,-155,False,sin_efecto,,sin_efecto,0.2486,-0.0343,0.8789,0.1519,-0.0147,0.9117,0.5996,+0.0020,1.0033
cand_5856,5856,-144,-124,False,sin_efecto,,contraproducente,0.3619,+0.0790,1.2792,0.2042,+0.0377,1.2262,0.5965,-0.0012,0.9981
cand_5857,5857,-143,-123,False,sin_efecto,,contraproducente,0.3782,+0.0953,1.3367,0.2230,+0.0565,1.3390,0.5985,+0.0009,1.0015
cand_5858,5858,-142,-122,False,sin_efecto,,contraproducente,0.3669,+0.0840,1.2969,0.2196,+0.0530,1.3182,0.5969,-0.0007,0.9988
cand_5859,5859,-141,-121,False,sin_efecto,,contraproducente,0.4034,+0.1205,1.4259,0.2495,+0.0829,1.4978,0.5947,-0.0030,0.9951
cand_5860,5860,-140,-120,False,sin_efecto,,contraproducente,0.4084,+0.1255,1.4437,0.2669,+0.1004,1.6025,0.5932,-0.0044,0.9926
cand_5861,5861,-139,-119,False,sin_efecto,,sin_efecto,0.2281,-0.0548,0.8064,0.1218,-0.0448,0.7311,0.5918,-0.0058,0.9903
cand_5862,5862,-138,-118,False,sin_efecto,,sin_efecto,0.2690,-0.0139,0.9509,0.1516,-0.0149,0.9104,0.5916,-0.0060,0.9900
cand_5863,5863,-137,-117,False,sin_efecto,,sin_efecto,0.2385,-0.0444,0.8431,0.1300,-0.0365,0.7807,0.5967,-0.0009,0.9985
cand_5864,5864,-136,-116,False,sin_efecto,,sin_efecto,0.2217,-0.0612,0.7837,0.1130,-0.0536,0.6784,0.5977,+0.0001,1.0002
