candidato,start_abs,start_rel,end_rel,cubre_donador,veredicto,bordes_anulados,clasificacion,donador_criptico,delta_donador,retencion_donador,aceptor_criptico,delta_aceptor,retencion_aceptor,donador_canonico_e3,delta_canonico,retencion_canonico
cand_5816,5816,-184,-164,False,sin_efecto,,sin_efecto,0.2524,+0.0076,1.0309,0.1268,-0.0183,0.8739,0.9363,-0.0001,0.9999
cand_5817,5817,-183,-163,False,sin_efecto,,sin_efecto,0.2689,+0.0241,1.0984,0.1253,-0.0198,0.8637,0.9361,-0.0003,0.9997
cand_5818,5818,-182,-162,False,sin_efecto,,sin_efecto,0.2604,+0.0156,1.0638,0.1199,-0.0252,0.8264,0.9335,-0.0030,0.9968
cand_5825,5825,-175,-155,False,sin_efecto,,sin_efecto,0.2678,+0.0230,1.0938,0.1336,-0.0115,0.9209,0.9366,+0.0002,1.0002
cand_5856,5856,-144,-124,False,sin_efecto,,contraproducente,0.2978,+0.0530,1.2164,0.1814,+0.0363,1.2505,0.9402,+0.0037,1.0040
cand_5857,5857,-143,-123,False,sin_efecto,,contraproducente,0.2973,+0.0524,1.2142,0.1795,+0.0344,1.2374,0.9394,+0.0030,1.0032
cand_5858,5858,-142,-122,False,sin_efecto,,contraproducente,0.2937,+0.0489,1.1996,0.1787,+0.0336,1.2316,0.9380,+0.0015,1.0016
cand_5859,5859,-141,-121,False,sin_efecto,,contraproducente,0.3178,+0.0730,1.2982,0.1979,+0.0529,1.3644,0.9376,+0.0011,1.0012
cand_5860,5860,-140,-120,False,sin_efecto,,contraproducente,0.3370,+0.0922,1.3768,0.1986,+0.0536,1.3692,0.9362,-0.0003,0.9997
cand_5861,5861,-139,-119,False,sin_efecto,,sin_efecto,0.2456,+0.0008,1.0032,0.1151,-0.0300,0.7933,0.9315,-0.0050,0.9947
cand_5862,5862,-138,-118,False,sin_efecto,,sin_efecto,0.2477,+0.0029,1.0119,0.1397,-0.0053,0.9632,0.9314,-0.0051,0.9946
cand_5863,5863,-137,-117,False,sin_efecto,,sin_efecto,0.2195,-0.0253,0.8967,0.1196,-0.0255,0.8245,0.9303,-0.0061,0.9935
