candidato,start_abs,start_rel,end_rel,cubre_donador,veredicto,bordes_anulados,clasificacion,donador_criptico,delta_donador,retencion_donador,aceptor_criptico,delta_aceptor,retencion_aceptor,donador_canonico_e3,delta_canonico,retencion_canonico
cand_5816,5816,-184,-164,False,sin_efecto,,sin_efecto,0.2465,-0.0364,0.8713,0.1370,-0.0295,0.8227,0.5956,-0.0020,0.9966
cand_5817,5817,-183,-163,False,sin_efecto,,sin_efecto,0.2579,-0.0250,0.9117,0.1435,-0.0230,0.8617,0.5963,-0.0014,0.9977
cand_5823,5823,-177,-157,False,sin_efecto,,sin_efecto,0.2485,-0.0344,0.8784,0.1540,-0.0126,0.9246,0.6000,+0.0024,1.0040
cand_5824,5824,-176,-156,False,sin_efecto,,sin_efecto,0.2506,-0.0323,0.8858,0.1541,-0.0124,0.9253,0.6012,+0.0036,1.0060
cand_5825,5825,-175,-155,False,sin_efecto,,sin_efecto,0.2486,-0.0343,0.8789,0.1519,-0.0147,0.9117,0.5996,+0.0020,1.0033
cand_5992,5992,-8,12,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2829,0.0000,0.0160,-0.1505,0.0962,0.6351,+0.0375,1.0628
cand_5998,5998,-2,18,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2829,0.0001,0.0122,-0.1544,0.0733,0.6374,+0.0398,1.0666
cand_5999,5999,-1,19,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2829,0.0001,0.0101,-0.1565,0.0606,0.6395,+0.0419,1.0701
cand_6017,6017,17,37,False,sin_efecto,,sin_efecto,0.2683,-0.0146,0.9484,0.1743,+0.0077,1.0463,0.5938,-0.0039,0.9936
cand_6018,6018,18,38,False,sin_efecto,,sin_efecto,0.2529,-0.0300,0.8940,0.1595,-0.0070,0.9578,0.5922,-0.0054,0.9909
cand_6019,6019,19,39,False,sin_efecto,,sin_efecto,0.2620,-0.0209,0.9261,0.1622,-0.0044,0.9739,0.5946,-0.0031,0.9949
cand_6020,6020,20,40,False,sin_efecto,,sin_efecto,0.2734,-0.0095,0.9664,0.1725,+0.0059,1.0354,0.5948,-0.0028,0.9953
cand_6021,6021,21,41,False,sin_efecto,,sin_efecto,0.2926,+0.0097,1.0344,0.1846,+0.0180,1.1083,0.5956,-0.0020,0.9967
cand_6022,6022,22,42,False,sin_efecto,,sin_efecto,0.2747,-0.0082,0.9712,0.1717,+0.0052,1.0309,0.5953,-0.0024,0.9960
cand_6023,6023,23,43,False,sin_efecto,,sin_efecto,0.2667,-0.0162,0.9427,0.1651,-0.0015,0.9913,0.5937,-0.0040,0.9934
cand_6024,6024,24,44,False,sin_efecto,,sin_efecto,0.2817,-0.0012,0.9958,0.1738,+0.0072,1.0433,0.5938,-0.0039,0.9935
