candidato,start_abs,start_rel,end_rel,cubre_donador,veredicto,bordes_anulados,clasificacion,donador_criptico,delta_donador,retencion_donador,aceptor_criptico,delta_aceptor,retencion_aceptor,donador_canonico_e3,delta_canonico,retencion_canonico
cand_5816,5816,-184,-164,False,sin_efecto,,sin_efecto,0.5907,+0.0312,1.0557,0.3044,+0.0335,1.1236,0.9893,+0.0001,1.0001
cand_5817,5817,-183,-163,False,sin_efecto,,sin_efecto,0.6151,+0.0556,1.0993,0.3037,+0.0328,1.1210,0.9891,-0.0001,0.9999
cand_5818,5818,-182,-162,False,sin_efecto,,sin_efecto,0.6273,+0.0678,1.1212,0.2951,+0.0243,1.0896,0.9892,-0.0001,0.9999
cand_5819,5819,-181,-161,False,sin_efecto,,sin_efecto,0.5979,+0.0384,1.0687,0.3243,+0.0534,1.1971,0.9893,+0.0000,1.0000
cand_5820,5820,-180,-160,False,sin_efecto,,sin_efecto,0.5891,+0.0296,1.0528,0.3464,+0.0755,1.2787,0.9894,+0.0001,1.0001
cand_5821,5821,-179,-159,False,sin_efecto,,sin_efecto,0.5878,+0.0283,1.0506,0.3344,+0.0635,1.2344,0.9893,+0.0001,1.0001
cand_5822,5822,-178,-158,False,sin_efecto,,sin_efecto,0.5824,+0.0229,1.0409,0.3306,+0.0597,1.2203,0.9894,+0.0001,1.0001
cand_5823,5823,-177,-157,False,sin_efecto,,sin_efecto,0.5902,+0.0307,1.0549,0.3301,+0.0592,1.2186,0.9894,+0.0002,1.0002
cand_5824,5824,-176,-156,False,sin_efecto,,sin_efecto,0.6009,+0.0414,1.0740,0.3364,+0.0655,1.2418,0.9894,+0.0001,1.0001
cand_5825,5825,-175,-155,False,sin_efecto,,sin_efecto,0.5972,+0.0377,1.0674,0.3324,+0.0615,1.2271,0.9895,+0.0002,1.0002
cand_5842,5842,-158,-138,False,sin_efecto,,sin_efecto,0.6190,+0.0595,1.1064,0.3786,+0.1078,1.3978,0.9895,+0.0002,1.0002
