candidato,start_abs,start_rel,end_rel,cubre_donador,veredicto,bordes_anulados,clasificacion,donador_criptico,delta_donador,retencion_donador,aceptor_criptico,delta_aceptor,retencion_aceptor,donador_canonico_e3,delta_canonico,retencion_canonico
cand_5816,5816,-184,-164,False,sin_efecto,,sin_efecto,0.7135,+0.0051,1.0072,0.2998,-0.0025,0.9916,0.9957,-0.0001,0.9999
cand_5817,5817,-183,-163,False,sin_efecto,,sin_efecto,0.7353,+0.0269,1.0380,0.2956,-0.0067,0.9779,0.9957,-0.0001,0.9999
cand_5823,5823,-177,-157,False,sin_efecto,,sin_efecto,0.6909,-0.0175,0.9753,0.2970,-0.0053,0.9823,0.9958,-0.0000,1.0000
cand_5824,5824,-176,-156,False,sin_efecto,,sin_efecto,0.6959,-0.0125,0.9823,0.3021,-0.0002,0.9994,0.9958,-0.0000,1.0000
cand_5825,5825,-175,-155,False,sin_efecto,,sin_efecto,0.6932,-0.0152,0.9786,0.3077,+0.0054,1.0178,0.9958,-0.0000,1.0000
cand_5992,5992,-8,12,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.7084,0.0000,0.0640,-0.2383,0.2118,0.9961,+0.0003,1.0003
cand_5998,5998,-2,18,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.7084,0.0000,0.0495,-0.2528,0.1637,0.9961,+0.0003,1.0003
cand_5999,5999,-1,19,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.7084,0.0000,0.0435,-0.2588,0.1440,0.9961,+0.0003,1.0003
cand_6017,6017,17,37,False,sin_efecto,,sin_efecto,0.7272,+0.0188,1.0266,0.3980,+0.0957,1.3165,0.9957,-0.0001,0.9999
cand_6018,6018,18,38,False,sin_efecto,,sin_efecto,0.7222,+0.0138,1.0194,0.3850,+0.0827,1.2735,0.9957,-0.0001,0.9999
cand_6019,6019,19,39,False,sin_efecto,,sin_efecto,0.7139,+0.0055,1.0077,0.3736,+0.0713,1.2358,0.9957,-0.0001,0.9999
cand_6020,6020,20,40,False,sin_efecto,,sin_efecto,0.7257,+0.0173,1.0245,0.3978,+0.0955,1.3160,0.9957,-0.0001,0.9999
cand_6021,6021,21,41,False,sin_efecto,,sin_efecto,0.7367,+0.0283,1.0400,0.4002,+0.0979,1.3238,0.9957,-0.0001,0.9999
cand_6022,6022,22,42,False,sin_efecto,,sin_efecto,0.7487,+0.0403,1.0569,0.4203,+0.1180,1.3902,0.9956,-0.0001,0.9999
cand_6023,6023,23,43,False,sin_efecto,,sin_efecto,0.7401,+0.0317,1.0448,0.4072,+0.1049,1.3469,0.9957,-0.0001,0.9999
cand_6024,6024,24,44,False,sin_efecto,,sin_efecto,0.7360,+0.0276,1.0390,0.3908,+0.0885,1.2928,0.9957,-0.0001,0.9999
